Date,"MSFT AAPL_('Close', 'AAPL')","MSFT AAPL_('Close', 'MSFT')","MSFT AAPL_('High', 'AAPL')","MSFT AAPL_('High', 'MSFT')","MSFT AAPL_('Low', 'AAPL')","MSFT AAPL_('Low', 'MSFT')","MSFT AAPL_('Open', 'AAPL')","MSFT AAPL_('Open', 'MSFT')","MSFT AAPL_('Volume', 'AAPL')","MSFT AAPL_('Volume', 'MSFT')"
2022-11-22,147.94802856445312,239.3083953857422,148.1844671134609,239.58185601879657,144.7463298277078,235.08927783112682,145.92850754073268,237.90201790004144,51804100,19665700
2022-11-23,148.8247833251953,241.798828125,149.57348268525726,242.48247963370116,147.12048400893244,238.5661214247604,147.22884977452136,239.38650323520181,58301400,19508500
2022-11-25,145.90882873535156,241.7109375,146.66738940683223,242.8926747923449,144.93353644344782,240.9686745039961,146.1058533815497,241.53513287897812,35195900,9200800
2022-11-28,142.0765838623047,236.11471557617188,144.46061568789466,240.89052977739965,141.24907166473017,235.17714064846845,142.98290889279264,240.33384745829161,69246000,24778200
2022-11-29,139.0718994140625,234.71812438964844,142.65780035300432,237.1206732847148,138.26409424637174,232.64763267479685,142.14552449543845,235.76313137502686,83763800,17956300
2022-11-30,145.82998657226562,249.1822967529297,146.50973424229787,249.36786250056446,138.46115805437884,234.25909694374434,139.29851639049443,234.95252448977655,111380900,47594200
2022-12-01,146.10581970214844,248.74282836914062,146.91364010696918,250.13942980347773,144.4310880474874,245.0608561020454,146.00731491776455,247.94196873918125,71250400,26041500
2022-12-02,145.6132049560547,249.06512451171875,145.80038352922034,250.08083329127504,143.4853038590272,243.8595816230871,143.79070918114468,243.98655080896413,65447400,21528500
2022-12-05,144.45077514648438,244.35763549804688,148.67701012513257,247.89311586072256,143.60355595085647,242.26760673225942,145.5738317516645,246.12536822814238,68826400,23435300
2022-12-06,140.78607177734375,239.39627075195312,145.11082689130228,245.97889237423144,139.81077976944414,238.08756427144374,144.8842493657544,244.9631836631235,64727200,22463700
2022-12-07,138.84536743164062,238.66378784179688,141.2392458201791,240.41199845740607,137.9193352044314,236.5542366516699,140.07679006739448,239.11305308285705,69721100,20481500
2022-12-08,140.52989196777344,241.623046875,141.38697201949464,242.93176834963776,139.00294050323058,237.38439220863714,140.24420863853896,239.1228268856705,62128300,22611800
2022-12-09,140.04721069335938,239.6892852783203,143.40653461732074,242.51180134599122,138.80592729031733,238.4587124437862,140.22452830407295,238.98609654359035,76097000,20609700
2022-12-12,142.3426055908203,246.61370849609375,142.35245156002605,246.6430067827901,138.96357418350942,241.39840482934278,140.57920002207968,241.6718654401659,70462700,30665100
2022-12-13,143.30801391601562,250.92076110839844,147.7411345402718,257.75730647644866,142.0962984876822,247.16065519497627,147.27811851695523,255.57936772226543,93886200,42196900
2022-12-14,141.08163452148438,251.21377563476562,144.4803579746899,256.4583784732962,139.0620984014011,248.37172212570653,143.18982946326526,251.12588075984334,82291200,35410900
2022-12-15,134.47132873535156,243.1954345703125,139.69256282085553,248.26424677465207,134.00831270124763,241.56443204275277,139.01281523751095,247.7954592877002,98931900,35560400
2022-12-16,132.51092529296875,238.97633361816406,135.60425843945495,244.0060718471809,131.7425187492694,237.82387962727623,134.65853424660116,242.74620073337888,160156900,86102000
2022-12-19,130.40272521972656,234.83535766601562,133.19066784085936,239.4842185934079,129.36834224245627,233.13599715775666,133.1020090197244,239.1423853243392,79592600,29696400
2022-12-20,130.333740234375,236.15380859375,131.2696181831246,237.23788993522047,127.95955441414964,232.85272912283375,129.43726118544186,233.8098412838887,77432800,25150800
2022-12-21,133.43692016601562,238.72238159179688,134.77670825725167,239.88459664487903,130.77705094971176,234.5032643589745,131.00362844860888,236.04637204350925,85928000,23690600
2022-12-22,130.26480102539062,232.62811279296875,132.56017450128888,236.3393833310989,128.3634917913713,228.408980416361,132.35330392731453,235.6264185705002,77852100,28651700
2022-12-23,129.90028381347656,233.1554718017578,130.45195863115794,233.29220210096452,127.71327647766012,228.47732844087844,128.97425178436364,230.5966555298247,63814900,21207000
2022-12-27,128.09750366210938,231.42684936523438,129.45699902617415,233.3508349811279,126.80697517918489,230.32323076974535,129.42744608626094,233.1262097908691,69007800,16688600
2022-12-28,124.16679382324219,229.05357360839844,129.08263031505834,234.12238618004355,123.99932216789122,228.7019792420853,127.7428420402377,231.35846669812094,85438400,17457100
2022-12-29,127.68372344970703,235.38223266601562,128.54078860997595,236.27098706875256,125.83166690884427,230.14739203902258,126.08779735057679,230.14739203902258,75703700,19770700
2022-12-30,127.99896240234375,234.2200469970703,128.01866936965655,234.35677730572505,125.53612512465858,231.13383157030836,126.50156359082803,232.64764099629804,77034200,21938500
2023-01-03,123.2112045288086,233.9856414794922,128.9545531314731,240.011565882423,122.32457886036785,231.85653825258547,128.34377240566315,237.40391403529475,112117500,25740000
2023-01-04,124.4820327758789,223.7503662109375,126.74785308207225,227.43232343462765,123.22105739420844,220.6836879280111,125.00415469022626,226.85610390975128,89113600,50623400
2023-01-05,123.16193389892578,217.11891174316406,125.87106305679183,222.2365596343891,122.90580346279697,216.58175162726957,125.24057541769616,221.89472640541456,80962700,39585600
2023-01-06,127.6935806274414,219.67774963378906,128.35362127262974,220.48837045082183,123.03388217385093,214.2280589162467,124.13723942127505,217.79282338281794,87754700,43613600
